x1,x2,x3,x7,x4,x8,x5,x9,x10,x11,x6,x13,x12,x17,x14,x18,x15,x19,x20,x21,x16,x23,x22
6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
0.0,1.1940774,0.47763094,0.0,-0.47763094,-0.47763094,0.0,0.0,-0.47763094,0.0,0.23881547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.47763094,1.1940774,0.0,-0.47763094,0.0,0.23881547,-0.47763094,-0.47763094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.955262,0.0,0.0,-0.47763094,0.0,0.0,0.0,-0.47763094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.47763094,-0.47763094,0.0,1.955262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.47763094,0.0,0.0,0.0,1.955262,0.0,0.0,0.0,0.0,-0.47763094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.23881547,-0.47763094,0.0,0.0,1.1940774,-0.47763094,0.0,-0.47763094,0.47763094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.47763094,0.0,0.0,0.0,-0.47763094,1.955262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.47763094,-0.47763094,0.0,0.0,0.0,0.0,0.0,1.955262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,0.0,0.0,1.955262,-0.47763094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.23881547,0.0,-0.47763094,0.0,-0.47763094,0.47763094,0.0,0.0,-0.47763094,1.1940774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1940774,0.47763094,0.0,-0.47763094,0.0,0.23881547,-0.47763094,-0.47763094,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.47763094,4.1940775,0.0,-0.47763094,-0.47763094,0.0,0.0,-0.47763094,0.0,0.23881547,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552619,0.0,0.0,-0.47763094,0.0,0.0,0.0,-0.47763094,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,-0.47763094,0.0,0.9552619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,0.0,0.0,0.9552619,0.0,0.0,0.0,0.0,-0.47763094,0.0,0.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23881547,0.0,-0.47763094,0.0,0.0,4.1940775,-0.47763094,0.0,-0.47763094,0.47763094,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,0.0,0.0,0.0,0.0,-0.47763094,0.9552619,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,-0.47763094,0.0,0.0,0.0,0.0,0.0,0.9552619,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47763094,0.0,0.0,0.9552619,-0.47763094,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23881547,-0.47763094,0.0,-0.47763094,0.47763094,0.0,0.0,-0.47763094,1.1940774,0.0,0.0
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
